"ESC_NOME","MUN_NOME","total_alunos","total_acertos","total_erros","taxa_acerto_pct"
"EMUEF CORREGO DA CUTIEIRA","Vila Pavão",17,923,349,72.56
"EMEF ELPIDIA COIMBRA","Serra",420,23928,9060,72.54
"EMEB PROFª. JURACY CRUZ","Cachoeiro de Itapemirim",216,13139,4977,72.53
"EMPEIEF IVO MENEGARDO","Rio Novo do Sul",22,1227,465,72.52
"EMEF COQUEIRAL","Aracruz",176,9977,3783,72.51
"EMEIEF ADOLFO ROSA VIEIRA","Água Doce do Norte",82,5068,1924,72.48
"EMEIEF PROFª ZENI MENDES DE SOUZA","Marataízes",60,3429,1303,72.46
"EMEIEF BAIXO SOSSEGO","Itarana",62,3400,1296,72.4
"EMPEF ALTO RIO PONTE","Domingos Martins",32,1824,696,72.38
"EMEF BARRA DO ICARAI","Pancas",37,1991,761,72.35
"EMPEIF BARRA DO TRIUNFO","João Neiva",18,914,350,72.31
"EMEIEF SAO SEBASTIAO","Jaguaré",66,3575,1369,72.31
"EMEF EDUCAÇÃO RURAL  CAMPONESA   CONJUNTO FAMILIAR DE AGOSTINHO PARTELLI       ","Vila Valério",102,7123,2731,72.29
"EMPEF LIMAO","Itapemirim",16,899,345,72.27
"EMEB TEOTONIO RAFAEL","Atílio Vivácqua",76,4337,1667,72.24
"UMEF JOSE ELIAS DE QUEIROZ","Vila Velha",116,6370,2450,72.22
"EMEF THIERS VELLOSO","Itaguaçu",482,27307,10529,72.17
"EM EUGENIO DE SOUZA PAIXAO","Guaçuí",117,6845,2639,72.17
"EMEF GLADISTON REGIS BARBOSA","Cariacica",135,7855,3031,72.16
"EMEIEF ZILNETE PEREIRA GUIMARAES","Guarapari",476,21391,8257,72.15
"EMEB AVELINDA CARVALHO GAVA","Atílio Vivácqua",54,2906,1122,72.14
"EMEF JOSE FERIANI","Conceição do Castelo",65,3891,1505,72.11
"EEFFAB JOAO VICENTE FILHO","Brejetuba",109,8099,3133,72.11
"EUM ANA GELCA DE MATOS","São Mateus",24,1326,514,72.07
"EMEF RIO PRETO","São Mateus",83,4764,1848,72.05
"EMEB PROFESSORA PATRICIA FERNANDES ROFFES","Anchieta",305,16912,6562,72.05
"EMEF DR HELIO FERRAZ","Serra",364,20703,8049,72.01
"EMEBTI PROF. FLORISBELO NEVES","Cachoeiro de Itapemirim",300,16994,6610,72
"EMEIEF PROFESSOR JOSE ANTONIO DE MIRANDA","Guarapari",424,16053,6255,71.96
"ES- EEEF ASSENTAMENTO UNIÃO - Estadual","Conceição da Barra",28,1623,633,71.94
"EMEF PROFESSOR CARLOS DIAS MIRANDA CUNHA","São Gabriel da Palha",347,19701,7683,71.94
"UMEF RUBEM BRAGA","Vila Velha",357,19681,7681,71.93
"EMEF EMILIO KLUG","Pancas",120,6812,2660,71.92
"EMEF SANTA LUZIA","Conceição do Castelo",85,4956,1942,71.85
"EPM ROTARY CLUB","Colatina",24,1405,551,71.83
"EMEF ARACATIBA","Viana",32,1798,706,71.81
"EMEF CIPRIANO COCCO","Jaguaré",495,27721,10907,71.76
"EM VARGEM GRANDE DE ITAUNAS","Barra de São Francisco",43,2400,946,71.73
"EMEIEF ANTONIO GOMES DE SIQUEIRA","Divino de São Lourenço",231,13149,5181,71.73
"EM PROFESSORA GUIOMAR SOARES AZEVEDO","Guaçuí",80,4641,1831,71.71
"EMPEIEF MORRO BAIXO","Marechal Floriano",28,1560,616,71.69
"EMEIEF DARLY NERTY VERVLOET","São Roque do Canaã",198,9215,3641,71.68
"EMEF JOAO PAULO SOBRINHO","Viana",224,12433,4911,71.68
"EMEF IRMA TEREZINHA GODOY DE ALMEIDA","Anchieta",304,19538,7718,71.68
"EMEF JURAMA","Vila Valério",126,6845,2707,71.66
"EPM GIRASSOL","São Mateus",62,3279,1297,71.66
"EMEF PEDRO NOLASCO","João Neiva",147,7918,3134,71.64
"EEEFM JOSE ROBERTO CHRISTO","Afonso Cláudio",46,2547,1009,71.63
"EMEIEF JOSE ALOISIO SIMON","Marechal Floriano",113,6383,2529,71.62
"EMUEF CABECEIRA DO RIO POSSMOSER","Santa Maria de Jetibá",22,1306,518,71.6
"EMEF ROBERTSON SCHUAITH","Pancas",194,10682,4238,71.6
"EMPEF VILA BETHÂNIA","Linhares",83,4687,1861,71.58
"EM EVANDRA CHAVES DE OLIVEIRA","Barra de São Francisco",34,1927,765,71.58
"EMEF PADRE ANTUNES SIQUEIRA ","Viana",239,12962,5150,71.57
"EMEBTI JOSE HELVECIO ALTOE","Vargem Alta",129,6951,2761,71.57
"EMEIEF ALTO LIBERDADE","Marilândia",23,1207,481,71.5
"EM FAZENDA HENRIQUE ZAMBOM","Afonso Cláudio",36,2102,838,71.5
"EMEF PROFESSORA TANIA PONCIO LEITE","Cariacica",36,1973,787,71.49
"EMEF MINISTRO PETRONIO PORTELLA","Serra",408,22935,9149,71.48
"EMEF PROFESSORA VALERIA MARVILA DE OLIVEIRA","Marataízes",224,14972,5980,71.46
"EMPEF SANTO AMARO","Itapemirim",303,19626,7842,71.45
"EMPEIEF DJALMA GAEDE","Santa Leopoldina",45,2593,1037,71.43
"EMEF JOSE MARCOS RAMPINELLI","Aracruz",554,30924,12404,71.37
"EMEF MARINA CAMPANHOLLE","Nova Venécia",27,1530,614,71.36
"EMPEIEF FAZENDA ARTHUR PLASTER","Santa Maria de Jetibá",49,2811,1131,71.31
"EMEF DINORAH ALMEIDA RODRIGUES","Linhares",537,30569,12299,71.31
"EMEIEF PROFESSORA MARIA MARTA DALLA HUARCAYA","Guarapari",276,12371,4985,71.28
"EMEFTI EGÍDIO BORDONI","São Mateus",249,14092,5680,71.27
"EMEIEF DELZA FRASSON","Castelo",176,11291,4557,71.25
"EMEF ANTONIO COUTINHO OLIVEIRA","Cariacica",132,7729,3121,71.24
"UMEF DESEMBARGADOR CÂNDIDO MARINHO","Vila Velha",350,19978,8068,71.23
"ES- EEEFM NESTOR GOMES - Estadual","São Mateus",129,7135,2883,71.22
"UMEF DR TANCREDO DE ALMEIDA NEVES","Vila Velha",119,6586,2662,71.22
"EMEIEF PROFESSOR HAUSLER","Santa Teresa",40,2267,917,71.2
"EMEIEF MURITIBA","Ecoporanga",18,1005,407,71.18
"EM VICENTE AMARO DA SILVA","Mantenópolis",82,4682,1898,71.16
"EMEIEF CORREGO DA PALMEIRA","Nova Venécia",22,1158,470,71.13
"EMEFTI José Pinheiro","Pinheiros",233,13261,5383,71.13
"EMEIEF SAO SEBASTIAO","Bom Jesus do Norte",195,11816,4796,71.13
"EPM CAMPO GRANDE DE BAIXO","São Mateus",34,1846,750,71.11
"EMEF PROFESSOR EDSON ALTOE","Conceição do Castelo",500,27993,11381,71.1
"EMEFTI VALERIO COSER","São Mateus",278,15475,6289,71.1
"EMPEF PALMITAL","Itapemirim",35,2070,842,71.09
"EMEF PROFª AUREA MARIA ANDRADE SILVA FELICIO","Serra",335,18737,7639,71.04
"EM LUCIENE MATOS FERREIRA","Barra de São Francisco",198,11365,4643,71
"EMEF PROF CLAUDINA BARBOSA","Nova Venécia",248,13953,5699,71
"EM FORTALEZA","Afonso Cláudio",77,4994,2042,70.98
"EM HONORIO PEDRO DE SIQUEIRA","Guaçuí",34,1944,796,70.95
"EMEB ALBERTO SARTORIO","Cachoeiro de Itapemirim",55,3161,1295,70.94
"EMEF MARIA HELENA BAIOCO VASCONCELOS","Serra",528,29052,11900,70.94
"EM ALTO SANTA JOANA","Afonso Cláudio",16,959,393,70.93
"EMEF ALTAIR SIQUEIRA COSTA","Serra",496,27146,11128,70.93
"EMEF AUGUSTO RUSCHI","Serra",229,12746,5238,70.87
"EMEIEF ROSALINO SIMOES","Anchieta",18,1043,429,70.86
"EMEIEF GEORGETA FERREIRA DE ALMEIDA","Itapemirim",168,10837,4457,70.86
"EMEIEF ORMY LOUREIRO DE ALMEIDA","Guarapari",103,4428,1824,70.83
"EMEF ALVARO DE CASTRO MATTOS","Vitória",662,42582,17538,70.83
"EMEF SAMOEL COSTA","Aracruz",229,12761,5255,70.83
"EUM SAPUCAIA II","São Mateus",12,711,293,70.82
"EMEIEF IRACEMA  TIENGO DE LIMA","Nova Venécia",16,912,376,70.81
"EMEF PADRE GUIDO CEOTTO","Vitória",434,24995,10305,70.81
"EMEIEF VILMO ORNELAS SARLO","Presidente Kennedy",570,34743,14333,70.79
"EMEF SERRANA","Serra",416,21797,8997,70.78
"EMEF LACERDA DE AGUIAR","Piúma",606,33474,13824,70.77
"EMEIEF PROFESSOR JOSE NUNES","Baixo Guandu",278,15226,6292,70.76
"CMEIEF ""OLIVEIRA NUNES DA SILVA""","Dores do Rio Preto",32,1780,736,70.75
"EMEIEF LUIZ DALLA BERNARDINA","Colatina",232,13036,5396,70.72
"EMEF NOVO TEMPO","Jaguaré",237,13038,5402,70.7
"EMEIEF MARLENE RODRIGUES ÁVILA","Ibatiba",308,16604,6880,70.7
"EMEF SAO DIOGO","Serra",395,20651,8557,70.7
"EMEIEF REINALDO FIM","Castelo",141,9061,3755,70.7
"EMEB PROFESSOR CARLOS MATTOS","Mimoso do Sul",67,4054,1686,70.63
"EMEB PLURIDOCENTE TIJUCA","Cachoeiro de Itapemirim",39,2248,936,70.6
"EMEF CORREGO NEGRO","São Domingos do Norte",14,813,339,70.57
"EMEF PROF BARULA NEVES DOS SANTOS","Aracruz",248,13331,5569,70.53
"EM FAZENDA SANTO ANTONIO","Afonso Cláudio",28,1647,689,70.51
"EMEIEF VILA NELITA","Água Doce do Norte",52,3005,1257,70.51
"EMEF MORELLO","Governador Lindenberg",136,7507,3141,70.5
"EMEF VISCONDE DE INHAUMA","Santa Teresa",117,6065,2539,70.49
"EMEF PEDRO BALBINO DE MENEZES","Sooretama",528,28911,12107,70.48
"UMEF CEL JOAQUIM FREITAS","Vila Velha",291,15507,6501,70.46
"EMEF SAO MARCOS","Serra",369,18392,7718,70.44
"EMEF MARIA LUIZA JORGE DOS REIS","Vila Valério",261,16579,6961,70.43
"EMEIEF VALE DE TABOCAS","Santa Teresa",155,9436,3964,70.42
"EMEIEF CATARINA ROSSINI BRUNI","Águia Branca",102,5463,2297,70.4
"EMEBTI PROF. ATHAYR CAGNIN","Cachoeiro de Itapemirim",175,9161,3853,70.39
"EMCA FAZENDA LACERDA","Águia Branca",152,9427,3969,70.37
"EM PORTINHO","Piúma",164,9477,3995,70.35
"EMEF PROFª UBALDINA SANTO AMARO DO AMARAL","Boa Esperança",343,19830,8362,70.34
"EMEF ANTONIO SERAFIM","Marataízes",193,10617,4477,70.34
"EMUEF IRMAOS KENNEDY","Itapemirim",19,1117,471,70.34
"EMEF PROFESSORA ERICINA MACEDO PAGIOLA","Ibiraçu",333,18886,7966,70.33
"EMEF HILDA SCARPINO","Cariacica",377,21259,8971,70.32
"EMPEIEF GERALDA RODRIGUES SARMENTO","Santa Teresa",23,1257,531,70.3
"EMEF SAO BENTO DE URANIA","Alfredo Chaves",43,2500,1056,70.3
"EMEF ALVIMAR SILVA","Viana",77,4214,1780,70.3
"EMEF PRAIA GRANDE","Fundão",219,11105,4697,70.28
"EMEIEF CORREGO DO CAFE","Águia Branca",153,9351,3957,70.27
"EMEF MARIA ANSELMO","Serra",165,9205,3895,70.27
"EMEIEF ORCI BATALHA","Presidente Kennedy",34,1959,829,70.27
"EMEF TALMA DRUMOND PESTANA","Linhares",148,8416,3560,70.27
"EMEIEF BERNARDO LEONOR EFFGEN","Marechal Floriano",59,3077,1303,70.25
"EMEB PROFª MARIA DO CARMO MAGALHÃES","Cachoeiro de Itapemirim",83,4666,1978,70.23
"EMEB MONTEIRO DA SILVA","Mimoso do Sul",225,12115,5137,70.22
"EMEF PROF DULCE LOUREIRO CUZZUOL","Fundão",141,7551,3205,70.2
"EMEIEF JOSEPHA MIRANDA DE CARVALHO BRITTO","Itapemirim",66,3741,1591,70.16
"EMPEF PADRE CARLOS FURBETTA","Ibiraçu",29,1546,658,70.15
"EMEF BICANGA","Serra",130,7359,3133,70.14
"EMEF PROF IOLANDA SCHINEIDER RANGEL DA SILVA","Serra",451,19256,8206,70.12
"EMEIEF JOAO JULIO CARDOSO","Baixo Guandu",287,17826,7612,70.08
"EMEIEF BRACO DO SUL","São Domingos do Norte",124,7809,3339,70.05
"EMEF MARIA PAIVA","Cariacica",282,15033,6431,70.04
"EMEIEF PROFª MARIA RODRIGUES DE FREITAS","Alto Rio Novo",78,4341,1859,70.02
"EMEIEF PROFESSORA LEA HOLZ","Baixo Guandu",195,10837,4643,70.01
"EMEF FELINTO DAMIAO","Pedro Canário",323,17435,7473,70
"UMEF PROFESSORA LEOPOLDINA CONCEIÇÃO DE MATTOS SILVA","Vila Velha",582,31188,13377,69.98
"EMEF MARECHAL COSTA E SILVA","Aracruz",238,13103,5629,69.95
"EMEF OTACILIA BORGES FIGUEIREDO","Guarapari",630,26931,11581,69.93
"UMEF DOMINGOS JOSÉ MARTINS","Vila Velha",229,12185,5245,69.91
"EMEIEF MANOEL MARCONDES DE SOUZA","Itapemirim",96,6005,2587,69.89
"EMEF PEDRO VENTURIM","Cariacica",255,13855,5969,69.89
"CMEFTI PALMITAL","Linhares",293,16498,7108,69.89
"UMEF NAYDES BRANDAO","Vila Velha",478,25780,11124,69.86
"EUMEF BAIXO MOACIR","Governador Lindenberg",16,919,397,69.83
"EMPEF NALY DO SACRAMENTO FREITAS","Viana",16,860,372,69.81
"EMPEF BOM SERA","Itapemirim",39,2144,928,69.79
"EMEB PROF. THEREZA VALIATTI SARTÓRIO","Cachoeiro de Itapemirim",97,5450,2362,69.76
"EMEF BELIZARIO GUSMAO","Governador Lindenberg",221,11869,5151,69.74
"EMEIEF SANTA JÚLIA","São Roque do Canaã",117,6195,2689,69.73
"EMEIEF IMBURI","Marataízes",42,2395,1041,69.7
"EMEF ALDARY NUNES","Serra",738,38117,16597,69.67
"EM CACHOEIRINHA DO ITAUNAS","Barra de São Francisco",54,3155,1377,69.62
"EPM MILITINO CARRAFA","São Mateus",19,1069,467,69.6
"EMEF PROF NALY DA ENCARNACAO MIRANDA","Serra",470,25175,11001,69.59
"UMEF MARIO CASANOVA","Vila Velha",282,14102,6162,69.59
"EMEIEF LUCIA SASSO BANDEIRA","Guarapari",349,15536,6792,69.58
"EMEB SÃO FRANCISCO DE ASSIS","Cachoeiro de Itapemirim",239,12945,5669,69.54
"EMPEIF JOSE FRANCISCO CORDEIRO","Pedro Canário",27,1193,523,69.52
"EMEF SANTA CATARINA","Jaguaré",424,21982,9642,69.51
"UMEF PROFESSORA MARIA DA GLORIA DE FREITAS DUARTE","Vila Velha",202,11557,5071,69.5
"EMEF PADRE SERGIO BANZZA","Águia Branca",300,17698,7770,69.49
"EMEB PEDRO MILANEZE ALTOE","Vargem Alta",273,16014,7032,69.49
"EM PROFESSORA ADELINA LIRIO","Mantenópolis",308,16263,7147,69.47
"EMEF AMILTON MONTEIRO DA SILVA","Vitória",218,11932,5248,69.45
"EMEB ALZIRA GOMES","Vargem Alta",160,8804,3876,69.43
"UMEF RICARDINA STAMATO DA FONSECA","Vila Velha",249,12835,5657,69.41
"FLÁVIO ALCURE DE ARAÚJO","Ibatiba",233,13540,5974,69.39
"EMEF BODART JUNIOR","Rio Novo do Sul",337,18179,8035,69.35
"EMEF JOVENTINA SIMOES","Guarapari",209,9034,4002,69.3
"EMEF CLEILZA AMARAL VAZ","Cariacica",98,5094,2258,69.29
"EMEF EUZELIA LYRIO ","Viana",81,4139,1837,69.26
"EMEF FERDINANDO SANTORIO","Cariacica",373,20827,9261,69.22
"EM VICENTE AMARO DA SILVA","Barra de São Francisco",646,35267,15681,69.22
"EMEF HEMOGENIA MARIA DA CONCEICAO","Cariacica",299,16198,7206,69.21
"EMPEF CLERIA BELO LYRA","Guarapari",25,1146,510,69.2
"EMEIEF ANACLETO JACINTO RIBEIRO","Itapemirim",428,26481,11807,69.16
"EM LUIZ SIMAO","Mantenópolis",152,7953,3547,69.16
"EM PATRIMONIO DOS GONCALVES","Afonso Cláudio",18,1040,464,69.15
"EMPEIEF FAZENDA FRANZ SCHNEIDER","Santa Maria de Jetibá",68,3734,1666,69.15
"CMEB Antônio Hautequestt Filho","Marataízes",16,708,316,69.14
"EMPEF Lapinha","Pinheiros",31,1703,761,69.12
"EM ANISIO TEIXEIRA","Guaçuí",725,40047,17903,69.11
"EMEF ANDRE ALTOE","Jerônimo Monteiro",202,10607,4745,69.09
"EMEF JORGE DUFFLES ANDRADE DONATI","Conceição da Barra",560,30468,13670,69.03
"EMEFTI ERMELINDA GIACOMIN FARINA","Aracruz",117,6125,2751,69.01
"EMEIEF JORGE BOUERI SOBRINHO","Guarapari",332,14333,6435,69.01
"EMEF LENIR BORLOT","Vitória",225,12041,5411,68.99
"EMEIEF SAO JOAO DO ESTIVADO","Jaguaré",30,1639,737,68.98
"EMCA JOAO QUIUQUI","Águia Branca",95,5466,2462,68.95
"EMEIEF LUIZ JOAO GOMES","Itapemirim",151,8249,3717,68.94
"EMEF ESPACO ALTERNATIVO JARDIM CARAPINA","Serra",462,25506,11502,68.92
"EMEFTI PROFESSORA MARIA LUIZA DEVENS","Aracruz",332,17101,7733,68.86
"EMEIEF PEDRO THOMAZINI","Itaguaçu",99,5396,2444,68.83
"EMPEIEF FELICIO ALBERTO BARATELLA","Santa Teresa",20,845,383,68.81
"UMEF IZALTINA ALMEIDA FERNANDES","Vila Velha",567,30790,13962,68.8
"EMEIEF MINERVINA DA SILVA ARAUJO","Bom Jesus do Norte",182,10605,4811,68.79
"EMEIEF WELTON ALTOE CALIMAN","Vila Valério",96,5260,2388,68.78
"EM ISAURA MARQUES DA SILVA - CAIC","Guaçuí",162,8697,3949,68.77
"EMEIEF JOSE LEANDRO SCHWARTZ","Pancas",90,4817,2189,68.76
"EMEF Carmelita Machado Moraes","Alegre",36,1984,904,68.7
"EMEF SOIDO","Domingos Martins",82,5127,2337,68.69
"EMEB JACOMO SILOTTI","Cachoeiro de Itapemirim",301,17523,7993,68.67
"EMEIEF ERCY ARRUDA BONFIM","Muqui",267,16753,7647,68.66
"EMEF MARILIA REZENDE COUTINHO","Cariacica",301,15882,7248,68.66
"EMEF PROF MARIA ISTELA MODENESI","Serra",401,19928,9100,68.65
"EM WILSON FERREIRA","Barra de São Francisco",81,4364,1996,68.62
"EMEF EM TEMPO INTEGRAL ELIZABETH TRZOSEKI DA SILVA","Barra de São Francisco",131,7585,3491,68.48
"EMPEF MARIA PAGEL STORARI","Vila Pavão",36,1849,851,68.48
"EMPEF AFONSOS","Itapemirim",36,1981,915,68.4
"EMEF MARIA LUCAS GOMES","Ibiraçu",166,8948,4138,68.38
"EMPEIEF SANTA LUZIA","Santa Maria de Jetibá",18,990,458,68.37
"EPM QUINZE DE OUTUBRO","Colatina",21,1189,551,68.33
"EMUEF SAO BENTO","Domingos Martins",12,694,322,68.31
"EMEF ELISIARIO FERREIRA FILHO","Marechal Floriano",450,25797,11975,68.3
"EMEIEF JOSE MARQUES DA ROCHA","Água Doce do Norte",33,1795,833,68.3
"EMEF ATILIO PIZZOL","Venda Nova do Imigrante",387,22820,10596,68.29
"EMEF VENECIANO","Nova Venécia",537,35822,16652,68.27
"EMEIEF AMELIO FORECHI","Colatina",332,18571,8643,68.24
"EMEB PROFª CIBELIA TEIXEIRA ZIPPINOTI","Cachoeiro de Itapemirim",108,6045,2815,68.23
"EMEF PASTOR JOSE ABRAAO","Marataízes",114,6385,2975,68.22
"EMEF SAO JOAO CHRISOSTOMO","Cariacica",205,11286,5260,68.21
"EMEF CASCATA","Serra",248,12969,6043,68.21
"EPMEIEF ALTO CAPIM","Alto Rio Novo",28,1555,725,68.2
"EMUEF PROFESSORA AGENILIA CORREA DA PENHA","Viana",15,742,346,68.2
"EMEIEF ELIZA PACHECO ALVES","Ibitirama",344,19391,9045,68.19
"EMEF FRANCISCO DA CUNHA RAMALDES","Baixo Guandu",137,8416,3936,68.13
"EMUEF LAGOA DAS PALMAS","Linhares",17,981,459,68.13
"EM JOSE FRANCISCO DA FONSECA","Barra de São Francisco",245,13205,6183,68.11
"EMEB ANTONIO VAZZOLER","Vargem Alta",14,828,388,68.09
"EMEF VILA VERDE","São Mateus",358,19424,9108,68.08
"EMEIEF PROF NELCI GOMES DA COSTA","Irupi",86,4419,2073,68.07
"EMEF TAQUARAS","Pedro Canário",69,3656,1716,68.06
"CMEI MARIA RACHEL DO NASCIMENTO","Cariacica",62,2341,1099,68.05
"EEEFM JOSE ZAMPROGNO","Nova Venécia",29,1495,705,67.95
"EMEIEF VEREADOR RUBENS RAMIRO DA SILVA","Alto Rio Novo",62,3297,1555,67.95
"EMEIEF VALDECY AFONSO MOREIRA","Irupi",97,5671,2677,67.93
"EMEF ARACE","Domingos Martins",193,11124,5252,67.93
"EMEF EXPERIMENTAL DE VITORIA","Vitória",445,26181,12373,67.91
"EMEF ANA ARAUJO","Alfredo Chaves",413,22912,10830,67.9
"EMEIEF ESPLANADA DO CASTELO","Castelo",81,4095,1937,67.89
"EMEIEF PROFESSORA MARIA LUZIA LOURENCO","Ecoporanga",19,1023,485,67.84
"EMEF PROFESSORA MARIA APARECIDA LAVAGNOLI","Linhares",387,21275,10099,67.81
"EUM SANTO ANJO","São Mateus",14,743,353,67.79
"EMEF NOVA SANTA CRUZ","Aracruz",152,7852,3732,67.78
"EMEF FLOR DE CACTUS","Serra",652,34243,16297,67.75
"EMPEF ISABELO FONTANA","Iconha",51,3204,1528,67.71
"EMEB CORREGO VERMELHO","Cachoeiro de Itapemirim",88,4754,2270,67.68
"EMPEIEF RIO TAQUARA","Santa Maria de Jetibá",46,2618,1250,67.68
"EMEIEF BOA VISTA DO SUL","Marataízes",288,18688,8934,67.66
"EMPEIEF CABECEIRA DO RIO SANTA MARIA","Santa Maria de Jetibá",72,3745,1791,67.65
"EMEF DINORAH PEREIRA BARCELLOS","Serra",294,14769,7063,67.65
"EMEF TI PROFESSORA EUNICE PEREIRA SILVEIRA","Vitória",365,22022,10540,67.63
"EMEF EBER LOUZADA ZIPPINOTTI","Vitória",662,39035,18699,67.61
"EMPEIF CAVALINHO","João Neiva",18,876,420,67.59
"EMEFTI VEREADOR ALCEU PEREIRA DE MELO","Ibitirama",83,4656,2234,67.58
"EMEIPEF CORREGO SAO BENTO","Rio Bananal",36,1846,886,67.57
"EMEF PAULO PEREIRA GOMES","Jerônimo Monteiro",267,15073,7237,67.56
"EMEFTI AYRTON SENNA","São Mateus",202,11273,5413,67.56
"EMPEF FAZENDA SCHWAMBACH","Domingos Martins",21,1156,556,67.52
"EM CABECEIRA SANTO ANTONIO","Barra de São Francisco",22,1209,583,67.47
"EMEF CASTELO BRANCO","Vitória",202,10647,5137,67.45
"EMEB PROF. VALDY FREITAS","Cachoeiro de Itapemirim",338,17941,8657,67.45
"EMEIEF CORREGO DA DIVISA","São Domingos do Norte",54,3402,1642,67.45
"EMEIEF BONIFACIO JOAO MARVILA","Marataízes",101,5232,2528,67.42
"EMEF IRACY GOBBI","Cariacica",237,12480,6034,67.41
"CEMEIF JOSE MARTINS","Sooretama",68,3472,1680,67.39
"EMEF ABEL BEZERRA","Serra",895,47398,22936,67.39
"EMEF RUBEM ALVES","Serra",507,26160,12658,67.39
"EMEIEF PROFESSORA MATILDE GUERRA COMERIO","Colatina",724,44262,21438,67.37
"UMEF MARIA LUIZA DOS SANTOS VELLOZO","Vila Velha",382,19494,9440,67.37
"EMEIEF CECILIA DESTHEFANI SECCHIN","Castelo",92,5518,2674,67.36
"EMEF RONALDO SOARES","Vitória",111,5658,2742,67.36
"EMEF JARDIM BELA VISTA","Serra",407,21211,10285,67.35
"EMPEF LOURENCO BRAMBATI","Guarapari",32,1444,700,67.35
"EMEF PROFESSORA ANGELA MARIA PEREIRA BARCELOS","Serra",339,18046,8756,67.33
"EMEF PAULO FREIRE","Serra",482,25485,12375,67.31
"EMEF UNIAO LARANJENSE","Laranja da Terra",221,13710,6666,67.29
"EMEIEF RECREIO","Santa Maria de Jetibá",145,8189,3983,67.28
"EMEF PROFESSORA ANNA GOMES","Serra",727,34746,16922,67.25
"EM DANIEL CIRILO DE PAULA","Barra de São Francisco",47,2405,1171,67.25
"EMCEIEF JOAO ANTONIO MOREIRA","Água Doce do Norte",25,1342,654,67.23
"EMPEF FLORIANO AUGUSTO DITTRICH","Domingos Martins",29,1581,771,67.22
"EMEIEF PLURIDOCENTE MINEIRINHO","Presidente Kennedy",35,1889,921,67.22
"EMEIEF NORMA VICENTE FERREIRA","Itapemirim",138,8363,4081,67.21
"EMEIEF VILA FARTURA","São Gabriel da Palha",72,3798,1854,67.2
"EMEF LEONEL DE MOURA BRIZOLA","Serra",1113,57428,28026,67.2
"EMEFTI PROFESSOR CERQUEIRA LIMA","Cariacica",275,14890,7270,67.19
"EMEF JERÔNIMO MONTEIRO","Linhares",450,24199,11829,67.17
"EMEF ROSITA SALVADOR CARDOSO","Iconha",149,8419,4121,67.14
"EMEIEF MAGDALENA PISA","Itapemirim",592,33414,16356,67.14
"EMEB TIA MARLENE PETRI","Anchieta",153,9599,4701,67.13
"EMEF PRESIDENTE CASTELO BRANCO","Linhares",317,16753,8211,67.11
"EMEIEF ASSENTAMENTO RODEIO","Nova Venécia",17,977,479,67.1
"EMEFTI OZEIAS REZENDE","Barra de São Francisco",225,12713,6235,67.09
"EMEB LIMEIRA","Anchieta",45,2463,1209,67.08
"EMEF ELZIRA VIVACQUA DOS SANTOS","Vitória",765,44558,21884,67.06
"EMEF ADEVALNI SYSESMUNDO FERREIRA DE AZEVEDO","Vitória",620,35638,17522,67.04
"EMEIEF PLURIDOCENTE BARRA DE MAROBA","Presidente Kennedy",306,17768,8736,67.04
"EMEIEF FAZENDA FRANZ STUHR","Itarana",41,2148,1056,67.04
"EPM ALICE MOREIRA MACHADO","São Mateus",15,788,388,67.01
"EMPEF FAZENDA GERMANO SCHWANZ","Domingos Martins",40,2171,1069,67.01
"EMEF ARARIBOIA","Vila Valério",107,5411,2665,67
"EMEIEF VALE DO CANAA","São Roque do Canaã",483,23514,11590,66.98
"EMUEF PROF ALMERINDA REZENDE FIORIO","Montanha",16,808,400,66.89
"EMEFTI SAO JOAO BATISTA","Pedro Canário",288,15033,7441,66.89
"EMPEIPEF CÓRREGO JAPIRA","Linhares",47,2571,1273,66.88
"EMEF LAURINDA PEREIRA DO NASCIMENTO","Cariacica",182,9734,4822,66.87
"EMEIEF PROFESSORA MARIA LUIZA FLORES","Anchieta",148,8333,4133,66.85
"EMEF CELESTINO DE ALMEIDA","Cariacica",360,18579,9215,66.85
"EMEF IRMA CLEUSA CAROLINA RODY COELHO","Serra",540,28223,13997,66.85
"EMPEIEF FAZENDA GUSTAVO ROGGE","Santa Maria de Jetibá",31,1786,886,66.84
"EMPEF FAZENDA ALBERTO BRINGER","Domingos Martins",30,1628,808,66.83
"EMUEF CALIFORNIA","Domingos Martins",31,1457,723,66.83
"EMEF GOVERNADOR CARLOS LINDEMBERG","Serra",484,23059,11445,66.83
"EMEF NOVO IRAJA","Aracruz",142,7588,3768,66.82
"EMEF PROF VALDA COSTA SEVERO","Ponto Belo",287,16142,8018,66.81
"EMEF LACY ZULEICA NUNES","Serra",259,13643,6801,66.73
"EMEF AMENOPHIS DE ASSIS","Cariacica",121,6660,3320,66.73
"EMEFTI PROFESSORA LAUREA FREIRE BRUMANA","Marataízes",553,28977,14453,66.72
"EMEF MERCEDES DE AGUIAR","São Mateus",26,1409,703,66.71
"EM AGRICOLA","Afonso Cláudio",463,30096,15108,66.58
"EMEF MARIA AUREA BARROSO","Muniz Freire",118,6943,3489,66.55
"EMEIEF JOSE ANTONIO DE ALMEIDA","Marataízes",81,4242,2134,66.53
"EMEB GIRONDA","Cachoeiro de Itapemirim",96,5008,2524,66.49
